-57.333333333333336,-53.666666666666664,-63.333333333333336,-54.333333333333336
-64.66666666666667,-74.5,-83.33333333333333,-79.0
-70.5,-69.5,-78.0,-63.0
-53.0,-54.666666666666664,-59.666666666666664,-61.0
-74.66666666666667,-78.33333333333333,-72.66666666666667,-82.33333333333333
-53.0,-54.666666666666664,-59.666666666666664,-61.0
-61.333333333333336,-68.66666666666667,-75.5,-83.5
-64.5,-71.0,-83.0,-78.0
-67.0,-74.0,-83.0,-85.5
-57.333333333333336,-53.666666666666664,-63.333333333333336,-54.333333333333336
-74.66666666666667,-78.33333333333333,-72.66666666666667,-82.33333333333333
